year,address,lat,long
2014,"MANSFIELD, WV",39.1500974,-80.0536915
2014,"2096 KELLY ISLAND ROAD, MARTINSBURG, WV 25405",39.40870070694041,-77.97559490831276
2014,"580 NEEDY ROAD, MARTINSBURG, WV 25405",39.42306205938388,-77.91692741399322
2014,"2030 BACK CREEK VALLEY ROAD, HEDGESVILLE, WV 25427",39.40741858409234,-78.14869702414069
2014,"180 LORY CHURCH ROAD, JULIAN, WV 25529",38.13598774218406,-81.8349606743418
2014,"404 Riverside Drive, Madison, WV 25130",38.07286755034846,-81.82633058780851
2014,"9846 COAL RIVER ROAD, SETH, WV 25181",38.1353131,-81.6344731
2014,"37949 COAL RIVER ROAD, WHITESVILLE, WV 25209",37.9821787142169,-81.53613107565525
2014,"12165 Chap Road, Bandytown, WV 25505",37.941270676212696,-81.64018409319112
2014,"1 BRADLEY FOSTER DR, HUNTINGTON, WV 25701",38.387335862377995,-82.45739767936402
2014,"1524 10TH AVE, HUNTINGTON, WV 25701",38.414022102462525,-82.43212134099235
2014,"1 CAMPBELL DR, HUNTINGTON, WV 25705",38.41023940615776,-82.37409379616525
2014,"68 HOLLEY AVE, HUNTINGTON, WV 25701",38.40320213717473,-82.38642815410617
2014,"607 5TH AVE, HUNTINGTON, WV 25702",38.42709256673078,-82.38401899757889
2014,"1 PANTHER TRAIL, MILTON, WV 25541",38.4360865,-82.1495316
2014,"1 PANTHER TRL, MILTON, WV 25541",38.4360865,-82.1495316
2014,"6040 BOOTEN CREEK RD, BARBOURSVILLE, WV 25504",38.39513556400101,-82.31986134131284
2014,"930 2ND ST, HUNTINGTON, WV 25701",38.410727624326,-82.45355745948478
2014,"RT 1, OXFORD, WEST UNION, WV 26456",39.231490458733106,-80.85237328106831
2014,"3950 SUMMERLEE RD, OAK HILL, WV 25901",37.99971319936731,-81.13579874648775
2014,"5094 GATEWOOD RD, FAYETTEVILLE, WV 25840",38.007209881415974,-81.06491561610522
2014,"93 HAMBRICK RD, SCARBRO, WV 25917",37.95865759816803,-81.1640403781173
2014,"3249 E. MAIN ST, OAK HILL, WV 25901",38.00139047457492,-81.13130919811493
2014,"601 JONES AVE, OAK HILL, WV 25901",37.975556790297276,-81.1572773087517
2014,"123 ELMORE ST, OAK HILL, WV 25901",37.98537613282639,-81.14283763066948
2014,"469 CENTRAL AVE, OAK HILL, WV 25901",37.97665118877386,-81.14874111126241
2014,"408 LINCOLN ST, MOUNT HOPE, WV 25880",37.894195594596226,-81.16422959432418
2014,"158 MICHIGAN AVE, SMITHERS, WV 25186",38.175631425038375,-81.30493105225827
2014,"5407 MIDLAND TRAIL, FALLS VIEW, WV 25040",38.12762802328416,-81.24978914746816
2014,"140 WALNUT ST, GAULEY BRIDGE, WV 25085",38.16779996365865,-81.19577357649288
2014,"12588 DEEPWATER MTN RD, ROBSON, WV 25173",38.09777507481948,-81.2489109044106
2014,"3319 ARMSTRONG CRK RD, POWELLTON, WV 25161",38.0899647,-81.3149945
2014,"1367 ARMSTRONG CRK RD, KIMBERLY, WV 25118",38.128566670476346,-81.30337292055134
2014,"95 WISEMAN AVE, FAYETTEVILLE, WV 25840",38.0522186,-81.1058942
2014,"129 HIGH ST, FAYETTEVILLE, WV 25840",38.0548735053394,-81.10909307569545
2014,"26719 MIDLAND TRAIL, HICO, WV 25854",38.1168897,-81.0051691
2014,"47 CHURCH ST, ANSTED, WV 25812",38.134642,-81.098497
2014,"27 SCHOOL ST, ANSTED, WV 25812",38.1350571,-81.091161
2014,"28895 MIDLAND TRAIL, HICO, WV 25854",38.1168897,-81.0051691
2014,"804 MEADOW BRIDGE RD, MEADOW BRIDGE, WV 25976",37.86643324185775,-80.85934837299402
2014,"1487 CORLISS RD, RAINELLE, WV 25962",38.02649823286691,-80.87347704311497
2014,"MAIN STREET, WV",37.7349943,-81.1266073
2014,"VAGO, WV",37.8828986,-80.3722963
2014,"US 219, WV",39.1637909,-79.4932286
2014,"200 NORTH COURT STREET, LEWISBURG, WV 24901",37.796708405179174,-80.45301191879452
2014,"214 EAST WASHINGTON ST, LEWISBURG, WV 24901",37.80101375848096,-80.44436311486572
2014,"CRAIG RD, WV",37.935954,-80.733499
2014,"701 KANAWHA AVENUE, RAINELLE, WV",37.9687286,-80.7684315
2014,"280 SCHOOL ST, ROMNEY, WV 26757",39.34578069749119,-78.76241407834834
2014,"99 GREEN PARK ST, WV",38.421433916344995,-82.30016246472263
2014,"300 SCHOOL STREET, WEIRTON, WV 26062",40.41798419606147,-80.57043069644271
2014,"3428 PENNSYLVANIA AVENUE, WEIRTON, WV 26062",40.410026836705185,-80.53420217042242
2014,"301 EAST MAIN ST, MEETING ROOM, WARDENSVILLE, WV 26851",39.0803698996703,-78.59204208276736
2014,"43 RECREATION DR, CLARKSBURG, WV 26301",39.25917304636596,-80.38560741901927
2014,"Rt 1, (Pine Bluff), SHINNSTON, WV 26431",39.42134543864728,-80.34479356033108
2014,"Rt 2 Box 202, (Rt 20 Quiet Dell), MT CLARE, WV 46408",39.22097897292065,-80.29440829299762
2014,"JARVISVILLE RD, JARVISVILLE, WV",39.2257523,-80.4944502
2014,"Rt 2 Box 202, (Rt 20 Quiet Dell), MT CLARE, WV 26408",39.22097897292065,-80.29440829299762
2014,"1 WEST SCHOOL ST, RIPLEY, WV 25271",38.8119373,-81.7013057
2014,"706 3RD AVE, MONTGOMERY, WV 25136",38.18074569938341,-81.32846448692965
2014,"8405 MACCORKLE AVE, MARMET, WV 25315",38.25225199448465,-81.57193681319154
2014,"2601 FAIRLAWN AVE, DUNBAR, WV 25064",38.371449235720206,-81.74888612369091
2014,"1900 SCHOOL STREET, CHARLESTON, WV 25312",38.38022799321044,-81.66222653514006
2014,"1606 GARRETTS BEND, SOD, WV 25564",38.3016849919772,-81.90595292666063
2014,"13 ELY FORK ROAD, SUMERCO, WV 25567",38.2146454246743,-81.84894437268554
2014,"5304 STRAIGHT FORK, GRIFFITHSVILLE, WV 25521",38.237361690187356,-81.99441068274695
2014,"2508 STRAIGHT FORK, ALKOL, WV 25501",38.164342740676084,-81.91782402093399
2014,"2873 BULGER ROAD, ALKOL, WV 25501",38.129180506964644,-82.00869550540921
2014,"15 ROSEWOOD ROAD, HARTS, WV 25524",38.05173876104698,-82.01766020044397
2014,"1246 MCCLELLAN HWY, HARTS, WV 25524",38.0240759,-82.1043019
2014,"59 VANATTERS CREEK, RANGER, WV 25557",38.12089327970091,-82.17919563168789
2014,"5312 MCCLELLAN HWY, BRANCHLAND, WV 25506",38.24873760610899,-82.19087625766224
2014,"114 DAIRY ROAD, WEST HAMLIN, WV 25571",38.304309442011224,-82.20334607672321
2014,"200 VANCE STREET, CHAPMANVILLE, WV 25508",37.975743,-82.021194
2014,"155 VETERANS AVE, HENLAWSON, WV 25624",37.90180175118775,-81.990416669144
2014,"CROOKED CREEK ROAD, PEACH CREEK, WV 25639",37.8923665,-81.9641325
2014,"506 HOLLY AVENUE, LOGAN, WV 25601",37.859729691125096,-81.98977390740106
2014,"407 CIRCLE ROAD, LOGAN, WV 25601",37.89475234825363,-81.9922250011777
2014,"305 CENTRAL AVENUE, LOGAN, WV 25601",37.90752220650285,-81.98273254810027
2014,"4201 BUFFALO CRK RD, AMHERSTDALE, WV 25607",37.78478557210923,-81.81150083946761
2014,"SUPERINTENDENT ROAD, LORADO, WV 25630",37.7967086,-81.7173312
2014,"800 MCDONALD AVENUE, MAN, WV 25635",37.741205,-81.8814951
2014,"105 MARKET STREET, MAN, WV 25635",37.743001160836,-81.87365860417003
2014,"699 STRATTON STREET, LOGAN, WV 25601",37.8430536249806,-81.98052420075874
2014,"127 SPRINGFIELD ROAD, WILKINSON, WV 25653",37.8263657,-81.9980869
